0,1,2
1.0,0.906603,-1.206693
1.0,0.953271,-1.254587
1.0,1.044813,-1.340112
1.0,1.136354,-1.429058
1.0,1.22969,-1.518003
1.0,1.326617,-1.606949
1.0,1.337386,-1.617212
1.0,-0.906276,1.502726
1.0,-1.283211,1.509568
1.0,-1.31911,1.509568
1.0,-1.426806,1.512989
1.0,-1.423216,1.512989
1.0,-1.394497,1.512989
1.0,-1.335264,1.506147
1.0,-1.31911,1.502726
1.0,-1.06782,1.51641
1.0,-1.06423,1.519831
1.0,-0.967304,1.601935
1.0,-0.924225,1.639566
1.0,-0.845248,1.345361
1.0,-0.613702,0.719321
1.0,-0.601138,0.691953
1.0,0.045037,0.168542
1.0,0.242479,0.086439
1.0,0.429152,-0.067506
1.0,0.529668,-0.204345
1.0,0.536847,-0.241976
1.0,0.536847,-0.642231
1.0,0.493769,-0.792754
1.0,0.540437,-0.91591
1.0,0.642748,-1.073275
1.0,0.745059,-1.151958
1.0,0.764804,-1.169063
1.0,0.870704,-1.26485
1.0,0.976605,-1.357217
1.0,1.086096,-1.453004
1.0,1.104045,-1.466688
1.0,-1.193465,1.434307
1.0,-1.247313,0.360118
1.0,-1.247313,1.434307
1.0,-1.247313,1.430886
1.0,-1.206029,1.430886
1.0,-1.121668,1.434307
1.0,-1.139617,1.417202
1.0,-1.229363,1.331677
1.0,-1.170131,1.287204
1.0,-0.996022,1.160628
1.0,-0.870377,0.979316
1.0,-0.500622,0.531167
1.0,-0.349848,0.366959
1.0,-0.089583,0.257488
1.0,0.260428,0.171963
1.0,0.307096,0.059071
1.0,0.569156,-0.146188
1.0,0.558387,-0.324079
1.0,0.619414,-0.385657
1.0,0.619414,-0.63881
1.0,0.619414,-0.844069
1.0,0.648133,-0.885121
1.0,0.802497,-1.052749
1.0,0.9784,-1.175905
1.0,1.014299,-1.19301
1.0,1.066352,-1.26485
1.0,1.132764,-1.357217
1.0,1.200971,-1.446162
1.0,1.270974,-1.535108
1.0,1.301488,-1.57616
1.0,-1.355008,1.331677
1.0,-1.426806,1.304309
1.0,-1.426806,1.300888
1.0,-1.426806,1.290625
1.0,-1.430395,1.290625
1.0,-1.460909,1.290625
1.0,-1.480653,1.290625
1.0,-1.414241,1.283783
1.0,-1.355008,1.276941
1.0,-1.45014,1.198259
1.0,-1.480653,1.170891
1.0,-1.254492,1.030631
1.0,-0.924225,0.873265
1.0,-0.875762,0.82195
1.0,-0.629857,0.57564
1.0,-0.511391,0.462747
1.0,0.054011,0.308803
1.0,0.565566,0.233541
1.0,0.567361,0.199331
1.0,0.578131,0.035124
1.0,0.583516,-0.050401
1.0,0.709161,-0.279607
1.0,0.888654,-0.53618
1.0,0.895833,-0.560127
1.0,0.953271,-0.796175
1.0,0.9784,-0.998013
1.0,0.9784,-1.05617
1.0,1.010709,-1.121169
1.0,1.060967,-1.223798
1.0,1.11302,-1.323007
1.0,1.166868,-1.422216
1.0,1.211741,-1.500898
1.0,-1.552451,1.263257
1.0,-1.426806,1.263257
1.0,-1.421421,1.263257
1.0,-1.394497,1.263257
1.0,-1.390907,1.263257
1.0,-1.480653,1.270099
1.0,-1.588349,1.27352
1.0,-1.554246,1.259836
